city,town,bound_northeast_lat,bound_northeast_lon,bound_southwest_lat,bound_southwest_lon,location_lat,location_lon,location_type
Changhua County,Ershui Township,23.841964,120.6839483,23.7856174,120.5818804,23.8062757,120.6257423,APPROXIMATE
Kinmen County,Wuqiu Township,24.9991203,119.476997,24.9790876,119.4455389,24.9911547,119.4542045,APPROXIMATE
Taichung City,Daya District,24.2591569,120.6827615,24.2015261,120.5963838,24.2225023,120.6545022,APPROXIMATE
Miaoli County,Sanwan Township,24.6793709,121.0108376,24.5831339,120.8966341,24.6305288,120.9302603,APPROXIMATE
Yunlin County,Gukeng Township,23.6953427,120.6112681,23.6038918,120.5323492,23.6449781,120.563741,APPROXIMATE
Tainan City,Longqi District,23.0086531,120.4352253,22.9054774,120.3471561,22.9540045,120.378138,APPROXIMATE
Nantou County,Shuili Township,23.9075581,120.9369222,23.7108049,120.8102717,23.7919524,120.8613785,APPROXIMATE
Tainan City,Nanhua District,23.2398854,120.6562596,23.0023947,120.4310589,23.1079133,120.5624474,APPROXIMATE
Taoyuan City,Xinwu District,25.017553,121.1657861,24.9349992,120.9845575,24.9826597,121.067907,APPROXIMATE
Tainan City,South District,22.9886439,120.2167753,22.9117615,120.1486875,22.9563522,120.1877943,APPROXIMATE
Pingtung County,Donggang Township,22.5004886,120.5035631,22.4300156,120.4353488,22.4628783,120.4703258,APPROXIMATE
Kaohsiung City,Maolin District,23.0022785,120.8695532,22.8352292,120.6491177,22.9319405,120.734995,APPROXIMATE
Tainan City,Xinhua District,23.0835558,120.392751,22.9886797,120.2778813,23.0280873,120.3320195,APPROXIMATE
Hsinchu County,Guanxi Township,24.8443454,121.2930928,24.7253295,121.1030683,24.8044851,121.1481284,APPROXIMATE
Yunlin County,Xiluo Township,23.8207264,120.5133707,23.7382268,120.4166411,23.7755286,120.447285,APPROXIMATE
Nantou County,Nantou City,23.9653592,120.7348104,23.8781697,120.6268085,23.9179637,120.6775054,APPROXIMATE
New Taipei City,Sanzhi District,25.2826352,121.5659922,25.1791263,121.4473704,25.2593452,121.5024341,APPROXIMATE
Taoyuan City,Luzhu District,25.1220093,121.3551061,24.9869728,121.2321862,25.0784359,121.2969674,APPROXIMATE
Tainan City,Xiaying District,23.2648519,120.3000009,23.2013236,120.2201276,23.2292915,120.2685799,APPROXIMATE
Tainan City,Yongkang District,23.0676359,120.2924963,22.9906705,120.2093653,23.0211779,120.2628111,APPROXIMATE
Yunlin County,Dongshi Township,23.7444266,120.3064493,23.6536205,120.2184433,23.693257,120.2570421,APPROXIMATE
