id,x,y
6,472,489
6,470,492
6,468,499
6,466,501
6,466,504
6,464,506
6,464,508
6,462,511
6,460,518
6,458,520
6,456,527
6,454,529
6,454,531
6,452,533
6,452,535
6,450,537
6,450,540
6,448,542
6,448,544
6,446,546
6,446,549
6,444,551
6,444,553
6,442,555
6,442,558
6,440,560
6,440,562
6,438,564
6,436,571
6,434,573
6,432,577
6,432,579
6,430,581
6,428,588
6,426,590
6,426,592
6,422,599
6,422,601
6,420,603
6,420,605
6,418,607
6,418,610
6,416,612
6,416,614
6,414,616
6,414,619
6,412,621
6,412,623
6,410,625
6,410,628
6,408,630
6,408,632
6,406,634
6,406,636
6,402,643
6,402,645
6,400,647
6,398,654
6,396,656
6,396,658
6,392,665
6,392,667
6,390,669
6,390,672
6,388,674
6,390,672
6,390,669
6,392,667
6,392,665
6,394,663
6,394,661
6,396,659
6,396,656
6,398,654
6,398,652
6,400,650
6,400,647
6,402,645
6,402,643
6,404,641
6,404,639
6,406,637
6,406,634
6,408,632
6,408,630
6,410,628
6,410,625
6,412,623
6,412,621
6,414,619
6,414,616
6,416,614
6,416,612
6,418,610
6,418,608
6,420,606
6,420,604
6,422,602
6,422,599
6,424,597
6,424,595
6,426,593
6,428,586
6,430,584
6,430,582
6,432,580
6,432,577
6,434,575
6,434,573
6,436,571
6,438,564
6,440,562
6,440,560
6,442,558
6,442,556
6,444,554
6,444,551
6,446,549
6,446,547
6,448,545
6,448,542
6,450,540
6,450,538
6,452,536
6,454,529
6,456,527
6,458,520
6,460,518
6,462,511
6,464,509
6,464,506
6,466,504
6,466,502
6,468,499
