"X0","Incidence_Rate","Lab_Confirm_Incidence_rate","X_SD_D_x100","CFR","ID","Country_or_Subregion","Country_sp","Deaths","EW","Iso3166","Confirmed","Epidemiological_Week","Number_of_Records","Population_x_1000","Serotype","Severe_Dengue","Total_of_Dengue_Cases","Type","Year","Week_Cases_Dengue","Week_Range"
0,"1.05","0",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,45,28,0,45,1,95,"DEN",0,1,"Preliminar",2017,0,"44-45"
0,"1.05","0",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,46,28,0,46,1,95,"DEN",0,1,"Preliminar",2017,0,"45-46"
0,"1.05","0",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,47,28,0,47,1,95,"DEN",0,1,"Preliminar",2017,0,"46-47"
0,"1.05","0",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,48,28,0,48,1,95,"DEN",0,1,"Preliminar",2017,0,"47-48"
0,"0.13","0",0,0,4,"Argentina","Argentina",0,1,32,0,1,1,42155,"DEN 1,4",0,55,"Preliminar",2015,55,"0-1"
0,"0.22","0.01",0,0,4,"Argentina","Argentina",0,3,32,3,3,1,42155,"DEN 1,4",0,94,"Preliminar",2015,39,"1-3"
0,"0.23","0.01",0,0,4,"Argentina","Argentina",0,4,32,3,4,1,42155,"DEN 1,4",0,99,"Preliminar",2015,5,"3-4"
0,"0.32","0.01",0,0,4,"Argentina","Argentina",0,5,32,3,5,1,42155,"DEN 1,4",0,136,"Preliminar",2015,37,"4-5"
0,"0.61","0.01",0,0,4,"Argentina","Argentina",0,6,32,3,6,1,42155,"DEN 1,4",0,259,"Preliminar",2015,123,"5-6"
0,"0.73","0.01",0,0,4,"Argentina","Argentina",0,7,32,4,7,1,42155,"DEN 1,4",0,309,"Preliminar",2015,50,"6-7"
0,"0.92","0.02",0,0,4,"Argentina","Argentina",0,8,32,7,8,1,42155,"DEN 1,4",0,387,"Preliminar",2015,78,"7-8"
0,"1.42","0.07",0,0,4,"Argentina","Argentina",0,9,32,30,9,1,42155,"DEN 1,4",0,599,"Preliminar",2015,212,"8-9"
0,"1.42","0.07",0,0,4,"Argentina","Argentina",0,10,32,30,10,1,42155,"DEN 1,4",0,599,"Preliminar",2015,0,"9-10"
0,"1.90","0.12",0,0,4,"Argentina","Argentina",0,11,32,49,11,1,42155,"DEN 1,4",0,803,"Preliminar",2015,204,"10-11"
0,"2.83","0.12",0,0,4,"Argentina","Argentina",0,12,32,49,12,1,42155,"DEN 1,4",0,1192,"Preliminar",2015,389,"11-12"
0,"2.70","0.33",0,0,4,"Argentina","Argentina",0,13,32,138,13,1,42155,"DEN 1,4",0,1138,"Preliminar",2015,-54,"12-13"
0,"3.05","0.34",0,0,4,"Argentina","Argentina",0,14,32,143,14,1,42155,"DEN 1,4",0,1285,"Preliminar",2015,147,"13-14"
0,"3.59","0.41",0,0,4,"Argentina","Argentina",0,15,32,174,15,1,42155,"DEN 1,4",0,1514,"Preliminar",2015,229,"14-15"
0,"4.11","0.86",0,0,4,"Argentina","Argentina",0,16,32,364,16,1,42155,"DEN 1,4",0,1731,"Preliminar",2015,217,"15-16"
0,"4.52","0.90",0,0,4,"Argentina","Argentina",0,17,32,379,17,1,42155,"DEN 1,4",0,1906,"Preliminar",2015,175,"16-17"
0,"5.37","0.90",0,0,4,"Argentina","Argentina",0,19,32,379,19,1,42155,"DEN 1,4",0,2263,"Preliminar",2015,357,"17-19"
0,"5.76","0.90",0,0,4,"Argentina","Argentina",0,21,32,379,21,1,42155,"DEN 1,4",0,2428,"Preliminar",2015,165,"19-21"
0,"5.90","0.90",0,0,4,"Argentina","Argentina",0,22,32,379,22,1,42155,"DEN 1,4",0,2486,"Preliminar",2015,58,"21-22"
0,"5.97","0.90",0,0,4,"Argentina","Argentina",0,23,32,379,23,1,42155,"DEN 1,4",0,2517,"Preliminar",2015,31,"22-23"
0,"6.06","0.57",0,0,4,"Argentina","Argentina",0,24,32,242,24,1,42155,"DEN 1,4",0,2553,"Preliminar",2015,36,"23-24"
0,"6.16","0.57",0,0,4,"Argentina","Argentina",0,25,32,242,25,1,42155,"DEN 1,4",0,2595,"Preliminar",2015,42,"24-25"
0,"6.18","0.58",0,0,4,"Argentina","Argentina",0,26,32,244,26,1,42155,"DEN 1,4",0,2605,"Preliminar",2015,10,"25-26"
0,"6.25","0.58",0,0,4,"Argentina","Argentina",0,27,32,244,27,1,42155,"DEN 1,4",0,2636,"Preliminar",2015,31,"26-27"
0,"6.30","0.58",0,0,4,"Argentina","Argentina",0,28,32,244,28,1,42155,"DEN 1,4",0,2655,"Preliminar",2015,19,"27-28"
0,"6.36","0.58",0,0,4,"Argentina","Argentina",0,29,32,244,29,1,42155,"DEN 1,4",0,2682,"Preliminar",2015,27,"28-29"
0,"6.48","0.58",0,0,4,"Argentina","Argentina",0,30,32,244,30,1,42155,"DEN 1,4",0,2733,"Preliminar",2015,51,"29-30"
0,"6.53","0.90",0,0,4,"Argentina","Argentina",0,31,32,381,31,1,42155,"DEN 1,4",0,2752,"Preliminar",2015,19,"30-31"
0,"6.62","0.58",0,0,4,"Argentina","Argentina",0,32,32,246,32,1,42155,"DEN 1,4",0,2791,"Preliminar",2015,39,"31-32"
0,"6.65","0.58",0,0,4,"Argentina","Argentina",0,33,32,246,33,1,42155,"DEN 1,4",0,2804,"Preliminar",2015,13,"32-33"
0,"6.73","0.60",0,0,4,"Argentina","Argentina",0,34,32,255,34,1,42155,"DEN 1,4",0,2839,"Preliminar",2015,35,"33-34"
0,"7.04","0.61",0,0,4,"Argentina","Argentina",0,35,32,257,35,1,42155,"DEN 1,4",0,2967,"Preliminar",2015,128,"34-35"
0,"7.20","0.61",0,0,4,"Argentina","Argentina",0,36,32,258,36,1,42155,"DEN 1,4",0,3034,"Preliminar",2015,67,"35-36"
0,"7.29","0.61",0,0,4,"Argentina","Argentina",0,37,32,258,37,1,42155,"DEN 1,4",0,3074,"Preliminar",2015,40,"36-37"
0,"7.34","0.61",0,0,4,"Argentina","Argentina",0,38,32,258,38,1,42155,"DEN 1,4",0,3096,"Preliminar",2015,22,"37-38"
0,"7.40","0.61",0,0,4,"Argentina","Argentina",0,39,32,258,39,1,42155,"DEN 1,4",0,3121,"Preliminar",2015,25,"38-39"
0,"7.48","0.61",0,0,4,"Argentina","Argentina",0,40,32,258,40,1,42155,"DEN 1,4",0,3153,"Preliminar",2015,32,"39-40"
0,"7.54","0.61",0,0,4,"Argentina","Argentina",0,41,32,258,41,1,42155,"DEN 1,4",0,3180,"Preliminar",2015,27,"40-41"
0,"7.66","0.82",0,0,4,"Argentina","Argentina",0,42,32,344,42,1,42155,"DEN 1,4",0,3227,"Preliminar",2015,47,"41-42"
0,"7.78","0.82",0,0,4,"Argentina","Argentina",0,43,32,344,43,1,42155,"DEN 1,4",0,3281,"Preliminar",2015,54,"42-43"
0,"7.86","0.82",0,0,4,"Argentina","Argentina",0,44,32,344,44,1,42155,"DEN 1,4",0,3313,"Preliminar",2015,32,"43-44"
0,"7.98","0.82",0,0,4,"Argentina","Argentina",0,45,32,345,45,1,42155,"DEN 1,4",0,3366,"Preliminar",2015,53,"44-45"
0,"8.12","0.82",0,0,4,"Argentina","Argentina",0,46,32,345,46,1,42155,"DEN 1,4",0,3421,"Preliminar",2015,55,"45-46"
0,"8.19","0.82",0,0,4,"Argentina","Argentina",0,47,32,345,47,1,42155,"DEN 1,4",0,3454,"Preliminar",2015,33,"46-47"
0,"8.36","0.82",0,0,4,"Argentina","Argentina",0,48,32,346,48,1,42155,"DEN 1,4",0,3523,"Preliminar",2015,69,"47-48"
0,"8.43","0.83",0,0,4,"Argentina","Argentina",0,49,32,349,49,1,42155,"DEN 1,4",0,3554,"Preliminar",2015,31,"48-49"
0,"8.63","0.84",0,0,4,"Argentina","Argentina",0,50,32,352,50,1,42155,"DEN 1,4",0,3637,"Preliminar",2015,83,"49-50"
0,"8.81","0.84",0,0,4,"Argentina","Argentina",0,51,32,354,51,1,42155,"DEN 1,4",0,3712,"Preliminar",2015,75,"50-51"
0,"11.32","2.87",0,0,4,"Argentina","Argentina",0,52,32,1208,52,1,42155,"DEN 1,4",0,4774,"Preliminar",2015,1062,"51-52"
0,"0.34","0.02",0,0,4,"Argentina","Argentina",0,1,32,7,1,1,43847,"DEN 1,4",0,150,"Final",2016,150,"0-1"
0,"0.61","0.03",0,0,4,"Argentina","Argentina",0,2,32,14,2,1,43847,"DEN 1,4",0,268,"Final",2016,118,"1-2"
0,"1.65","0.42",0,0,4,"Argentina","Argentina",0,3,32,186,3,1,43847,"DEN 1,4",0,722,"Final",2016,454,"2-3"
0,"6.41","3.17",0,0,4,"Argentina","Argentina",0,4,32,1388,4,1,43847,"DEN 1,4",0,2809,"Final",2016,2087,"3-4"
0,"11.07","3.78",0,0,4,"Argentina","Argentina",0,5,32,1658,5,1,43847,"DEN 1,4",0,4856,"Final",2016,2047,"4-5"
0,"20.96","6.78",0,0,4,"Argentina","Argentina",0,6,32,2972,6,1,43847,"DEN 1,4",0,9190,"Final",2016,4334,"5-6"
0,"31.96","11.45",0,0,4,"Argentina","Argentina",0,7,32,5022,7,1,43847,"DEN 1,4",0,14013,"Final",2016,4823,"6-7"
0,"44.36","17.76",0,0,4,"Argentina","Argentina",0,8,32,7786,8,1,43847,"DEN 1,4",0,19451,"Final",2016,5438,"7-8"
0,"54.76","23.45",0,0,4,"Argentina","Argentina",0,9,32,10280,9,1,43847,"DEN 1,4",0,24012,"Final",2016,4561,"8-9"
0,"74.57","35.13",0,0,4,"Argentina","Argentina",0,10,32,15402,10,1,43847,"DEN 1,4",0,32697,"Final",2016,8685,"9-10"
0,"87.46","41.73",0,0,4,"Argentina","Argentina",0,11,32,18297,11,1,43847,"DEN 1,4",0,38350,"Final",2016,5653,"10-11"
0,"93.79","47.18",0,0,4,"Argentina","Argentina",0,12,32,20685,12,1,43847,"DEN 1,4",0,41124,"Final",2016,2774,"11-12"
0,"108.88","54.19",0,0.01,4,"Argentina","Argentina",5,13,32,23759,13,1,43847,"DEN 1,4",0,47741,"Final",2016,6617,"12-13"
0,"118.86","55.53",0,0,4,"Argentina","Argentina",0,14,32,24349,14,1,43847,"DEN 1,4",0,52117,"Final",2016,4376,"13-14"
0,"129.55","65.35",0,0,4,"Argentina","Argentina",0,15,32,28653,15,1,43847,"DEN 1,4",0,56802,"Final",2016,4685,"14-15"
0,"138.95","71.53",0,0,4,"Argentina","Argentina",0,16,32,31363,16,1,43847,"DEN 1,4",0,60925,"Final",2016,4123,"15-16"
0,"145.85","75.23",0,0.017,4,"Argentina","Argentina",11,17,32,32985,17,1,43847,"DEN 1,4",0,63952,"Final",2016,3027,"16-17"
0,"154.54","81.67",0,0.016,4,"Argentina","Argentina",11,18,32,35811,18,1,43847,"DEN 1,4",0,67761,"Final",2016,3809,"17-18"
0,"160.36","84.83",0,0.016,4,"Argentina","Argentina",11,19,32,37196,19,1,43847,"DEN 1,4",0,70311,"Final",2016,2550,"18-19"
0,"167.16","88.66",0,0.015,4,"Argentina","Argentina",11,20,32,38873,20,1,43847,"DEN 1,4",0,73296,"Final",2016,2985,"19-20"
0,"167.88","89.38",0,0.015,4,"Argentina","Argentina",11,21,32,39190,21,1,43847,"DEN 1,4",0,73610,"Final",2016,314,"20-21"
0,"168.55","89.52",0,0.015,4,"Argentina","Argentina",11,22,32,39252,22,1,43847,"DEN 1,4",0,73905,"Final",2016,295,"21-22"
0,"169.61","90.44",0,0.015,4,"Argentina","Argentina",11,23,32,39657,23,1,43847,"DEN 1,4",0,74368,"Final",2016,463,"22-23"
