"year","including.up.to.week.start","including.up.to.week.end","month","province","cases","total.cases","total.deaths","rate.per.100000","fatality.rate","population"
"2007",2007-12-23,2007-12-29,"March","Nakhon Pathom","35","1235","1","150.26","0.08",821905
"2007",2007-12-23,2007-12-29,"March","Kanchanaburi","16","868","3","104.02","0.35",834447
"2007",2007-12-23,2007-12-29,"March","Sing Buri","3","52","0","23.97","0.00",216969
"2007",2007-12-23,2007-12-29,"March","Saraburi","16","415","1","68.05","0.24",609855
"2007",2007-12-23,2007-12-29,"March","Lopburi","13","523","0","69.48","0.00",752775
"2007",2007-12-23,2007-12-29,"March","Chai Nat","13","233","0","68.73","0.00",339006
"2007",2007-12-23,2007-12-29,"March","Pathum Thani","12","560","0","65.02","0.00",861338
"2007",2007-12-23,2007-12-29,"March","Ang Thong","2","369","1","129.96","0.27",283943
"2007",2007-12-23,2007-12-29,"March","Bangkok","323","6944","10","121.91","0.14",5695956
"2007",2007-12-23,2007-12-29,"March","Uthai Thani","8","273","0","83.49","0.00",326988
"2007",2007-12-23,2007-12-29,"March","Phichit","26","641","0","114.91","0.00",557832
"2007",2007-12-23,2007-12-29,"March","Nakhon Sawan","41","1453","1","135.04","0.07",1076015
"2007",2007-12-23,2007-12-29,"March","Kamphaeng Phet","29","670","1","91.99","0.15",728320
"2007",2007-12-23,2007-12-29,"March","Uttaradit","11","367","0","78.51","0.00",467482
"2007",2007-12-23,2007-12-29,"March","Tak","12","529","1","100.25","0.19",527677
"2007",2007-12-23,2007-12-29,"March","Sukhothai","11","200","0","32.85","0.00",608820
"2007",2007-12-23,2007-12-29,"March","Phitsanulok","6","622","1","73.65","0.16",844508
"2007",2007-12-23,2007-12-29,"March","Phetchabun","16","796","2","79.42","0.25",1002317
"2007",2007-12-23,2007-12-29,"March","Phrae","8","311","0","66.40","0.00",468373
"2007",2007-12-23,2007-12-29,"March","Phayao","0","50","0","10.28","0.00",486219
"2007",2007-12-23,2007-12-29,"March","Mae Hong Son","0","197","0","77.20","0.00",255174
"2007",2007-12-23,2007-12-29,"March","Lamphun","1","392","0","96.66","0.00",405564
"2007",2007-12-23,2007-12-29,"March","Lampang","4","237","1","30.63","0.42",773790
"2007",2007-12-23,2007-12-29,"March","Chiang Mai","3","656","0","39.56","0.00",1658298
"2007",2007-12-23,2007-12-29,"April","Songkhla","187","2305","5","174.95","0.22",1317501
"2007",2007-12-23,2007-12-29,"April","Satun","5","173","1","61.45","0.58",281545
"2007",2007-12-23,2007-12-29,"April","Yala","32","761","0","162.52","0.00",468252
"2007",2007-12-23,2007-12-29,"April","Pattani","85","1084","1","170.51","0.09",635730
"2007",2007-12-23,2007-12-29,"April","Narathiwat","27","1261","3","178.32","0.24",707171
"2007",2007-12-23,2007-12-29,"April","Loei","6","293","0","47.77","0.00",613303
"2007",2007-12-23,2007-12-29,"April","Phuket","20","474","5","157.61","1.05",300737
"2007",2007-12-23,2007-12-29,"April","Phang Nga","20","253","0","103.10","0.00",245394
"2007",2007-12-23,2007-12-29,"April","Krabi","36","663","0","164.37","0.00",403363
"2007",2007-12-23,2007-12-29,"April","Trang","18","256","0","42.14","0.00",607450
"2007",2007-12-23,2007-12-29,"April","Phatthalung","17","575","0","114.24","0.00",503321
"2007",2007-12-23,2007-12-29,"April","Nakhon Si Thammarat","84","1088","3","72.03","0.28",1510460
"2007",2007-12-23,2007-12-29,"April","Surat Thani","86","1164","3","121.16","0.26",960698
"2007",2007-12-23,2007-12-29,"April","Ranong","5","98","1","54.49","1.02",179850
"2007",2007-12-23,2007-12-29,"April","Chumphon","75","1090","0","227.57","0.00",478964
"2007",2007-12-23,2007-12-29,"April","Suphan Buri","37","664","0","78.68","0.00",843904
"2007",2007-12-23,2007-12-29,"April","Yasothon","18","278","0","51.40","0.00",540889
"2007",2007-12-23,2007-12-29,"April","Ubon Ratchathani","139","1011","0","56.70","0.00",1783035
"2007",2007-12-23,2007-12-29,"April","Sisaket","84","1618","3","111.86","0.19",1446484
"2007",2007-12-23,2007-12-29,"April","Amnat Charoen","15","237","0","64.24","0.00",368934
"2007",2007-12-23,2007-12-29,"April","Surin","144","2620","4","190.51","0.15",1375257
"2007",2007-12-23,2007-12-29,"April","Nakhon Ratchasima","40","1346","1","52.67","0.07",2555587
"2007",2007-12-23,2007-12-29,"April","Chaiyaphum","17","741","1","66.21","0.13",1119146
"2007",2007-12-23,2007-12-29,"April","Buriram","120","1685","2","109.65","0.12",1536722
"2007",2007-12-23,2007-12-29,"April","Roi Et","95","2061","1","157.32","0.05",1310047
"2007",2007-12-23,2007-12-29,"April","Maha Sarakham","37","791","0","84.36","0.00",937686
"2007",2007-12-23,2007-12-29,"April","Khon Kaen","47","944","0","53.93","0.00",1750500
"2007",2007-12-23,2007-12-29,"April","Sakon Nakhon","31","669","0","60.32","0.00",1109046
