"location","target","score","forecast_week","team","skill"
"HHS Region 4","4 wk ahead",-4.55891283323807,2,"PSI",0.010473439131132
"HHS Region 4","Season onset",0,2,"PSI",1
"HHS Region 4","Season peak percentage",-4.20207948040262,2,"PSI",0.014964426212119
"HHS Region 4","Season peak week",-0.030892711151254,2,"PSI",0.969579592574115
"HHS Region 5","1 wk ahead",-0.051624999670432,2,"PSI",0.949684932238972
"HHS Region 5","2 wk ahead",-0.0993862591028,2,"PSI",0.905392924215718
"HHS Region 5","3 wk ahead",-0.148340858007321,2,"PSI",0.862137198485489
"HHS Region 5","4 wk ahead",-0.651170588180864,2,"PSI",0.521435033678927
"HHS Region 5","Season onset",0,2,"PSI",1
"HHS Region 5","Season peak percentage",-2.72481602503223,2,"PSI",0.065558262687889
"HHS Region 5","Season peak week",-0.12154031326687,2,"PSI",0.885555353
"HHS Region 6","1 wk ahead",-0.647702144542209,2,"PSI",0.52324674179195
"HHS Region 6","2 wk ahead",-1.28482194027508,2,"PSI",0.276699848344694
"HHS Region 6","3 wk ahead",-3.81023940734441,2,"PSI",0.022142877155
"HHS Region 6","4 wk ahead",-4.36780564458116,2,"PSI",0.012679032367692
"HHS Region 6","Season onset",0,2,"PSI",1
"HHS Region 6","Season peak percentage",-3.88060568957684,2,"PSI",0.020638320979362
"HHS Region 6","Season peak week",-0.156791811096022,2,"PSI",0.854882017242758
"HHS Region 7","1 wk ahead",-0.569161200778954,2,"PSI",0.566
"HHS Region 7","2 wk ahead",-0.921303273697699,2,"PSI",0.398
"HHS Region 7","3 wk ahead",-1.43129172705063,2,"PSI",0.239
"HHS Region 7","4 wk ahead",-2.28278246569787,2,"PSI",0.102
"HHS Region 7","Season onset",0,2,"PSI",1
"HHS Region 7","Season peak percentage",-2.23492644452023,2,"PSI",0.107
"HHS Region 7","Season peak week",-0.055512709930259,2,"PSI",0.946
"HHS Region 8","1 wk ahead",-0.036159315769339,2,"PSI",0.964486623313997
"HHS Region 8","2 wk ahead",-0.518502229003327,2,"PSI",0.595411670786235
"HHS Region 8","3 wk ahead",-0.315100734615635,2,"PSI",0.729715362969941
"HHS Region 8","4 wk ahead",-0.381085579191718,2,"PSI",0.683119426309963
"HHS Region 8","Season onset",0,2,"PSI",1
"HHS Region 8","Season peak percentage",-0.129809849543187,2,"PSI",0.878262417043617
"HHS Region 8","Season peak week",-2.4823834686002,2,"PSI",0.083543863924035
"HHS Region 9","1 wk ahead",-1.72997784494647,2,"PSI",0.177288337758982
