"","Subsecretaria de Promoção da Saúde, Atenção Primária e Vigilância em Saúde","","","","","","","","","","","","","","","","","","",""
"","Superintendência de Vigilância em Saúde","","","","","","","","","","","","","","","","","","","","","","",""
"","Coordenação de Vigilância Epidemiológica ","","","","","","","","","","","","","","","","","","","","","","",""
"","Gerência de Vigilância de Doenças e Agravos","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Número de Casos de Dengue* por Mês, Áreas de Planejamento, Regiões Administrativas e Bairros","","","","","","","","","","","","","",""
"Município do Rio de Janeiro, 2012","","","","","","","","","","","","","",""
"Dados Atualizados em 12/12/2013","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Área Programática, Regiões Administrativas e Bairros","Pop. Censo 2010","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total","","","","","","","","","","","","","",""
"Senador Camará","105.515","145","300","903","1.762","870","208","39","32","19","16","26","33","4.353","","","","","","","","","","","","","",""
"Gericino ","15.167","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","",""
"Área Programática 5.2","665.198","548","1.275","3.368","4.170","2.733","928","146","65","22","37","42","99","13.433","","","","","","","","","","","","","",""
"XVIII Campo Grande","542.084","347","1.048","2.840","3.645","2.396","741","117","53","18","34","26","43","11.308","","","","","","","","","","","","","",""
"Santíssimo","41.458","50","210","430","472","272","91","28","14","3","9","8","6","1.593","","","","","","","","","","","","","",""
"Campo Grande","328.370","204","658","1.815","2.431","1.633","514","70","30","10","19","12","27","7.423","","","","","","","","","","","","","",""
"Senador Vasconcelos","30.600","31","71","134","90","47","22","2","3","0","3","1","0","404","","","","","","","","","","","","","",""
"Inhoaíba","64.649","26","64","200","344","234","84","10","3","2","3","2","4","976","","","","","","","","","","","","","",""
"Cosmos","77.007","36","45","261","308","210","30","7","3","3","0","3","6","912","","","","","","","","","","","","","",""
"XXVI Guaratiba","123.114","201","227","528","525","337","187","29","12","4","3","16","56","2.125","","","","","","","","","","","","","",""
"Guaratiba","110.049","127","160","404","425","285","141","18","4","2","1","9","30","1.606","","","","","","","","","","","","","",""
"Barra de Guaratiba","3.577","9","17","21","17","5","9","5","0","0","1","0","5","89","","","","","","","","","","","","","",""
"Pedra de Guaratiba","9.488","65","50","103","83","47","37","6","8","2","1","7","21","430","","","","","","","","","","","","","",""
"Área Programática 5.3","368.534","184","219","610","1.657","1.441","424","81","53","21","7","7","46","4.750","","","","","","","","","","","","","",""
"XIX Santa Cruz","368.534","184","219","610","1.657","1.441","424","81","53","21","7","7","46","4.750","","","","","","","","","","","","","",""
"Paciência","94.626","45","39","137","352","355","97","38","9","7","3","2","15","1.099","","","","","","","","","","","","","",""
"Santa Cruz","217.333","124","150","389","1.000","741","258","39","43","14","3","4","28","2.793","","","","","","","","","","","","","",""
"Sepetiba","56.575","15","30","84","305","345","69","4","1","0","1","1","3","858","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"* Distribuição dos dados de acordo com o local de residência referido","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Sem informação de Bairro e/ou Distrito de Residência","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fonte de Informação Epidemiológica: S/SUBPAV/COORDENAÇÃO DE VIGILÂNCIA  EPIDEMIOLÓGICA - SINAN - MRJ","","","","","","","","","","","","","","","","","","","","",""
"Obs. 1: Os dados tabulados referem-se aos atendimentos realizados em unidades do Município do Rio de Janeiro.","","","","","","","","","","","","","","","","","","","","",""
"Obs. 2: Os casos estão agrupados de acordo com o ano de notificação.","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dados Atualizados em: 12/12/2013 (dados sujeitos a alteração)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
