"Área Programática, Regiões Administrativas e Bairros","Pop. Censo 2010","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total"
"IX Vila Isabel","189 310","200","483","724","841","254","40","10","4","4","5","6","2","2.573"
"Maracanã","25.256","30","51","90","143","37","6","3","0","0","2","0","1","363"
"Vila Isabel","86.018","73","202","319","319","106","16","3","0","2","2","3","0","1.045"
"Andaraí","39.365","55","126","142","194","54","7","0","3","0","1","0","1","583"
"Grajaú","38.671","42","104","173","185","57","11","4","1","2","0","3","0","582"
"Área Programática 3.1","886 551","588","1.187","3.233","3.086","766","233","87","34","30","32","58","33","9.367"
"X Ramos","153 177","92","200","559","583","212","63","23","8","1","8","7","3","1.759"
"Manguinhos","36.160","21","28","73","75","37","8","6","2","0","2","1","0","253"
"Bonsucesso","18.711","28","89","196","239","88","18","10","2","1","3","1","1","676"
"Ramos","40.792","25","48","177","155","53","22","3","0","0","2","3","2","490"
"Olaria","57.514","18","35","113","114","34","15","4","4","0","1","2","0","340"

"XI PenhaPenhaPenha CircularBrás de PinaCordovilParada de LucasVigário GeralJardim AméricaXX Ilha Do GovernadorRibeiraZumbiCacuiaPitangueirasPraia da BandeiraCocotáBancários","321 88778.67847.81659.22245.20223.92341.82025.226 212 5743.5282.01611.01311.7565.9484.87712.512","130265121610382332262281041128","515412737353518815243336191792427","1.414221521481771313363498249155541175861","1.04517947116166641752981.14921116465204393","162281226305194232129161671424","511846932911213364410","174125311460082123","30011100220021000","10100000251010122","11000000220011112","82020031400122226","65010000210111000","3.3535251493514392527628753.337434820016266161256"
"Freguesia (Ilha do Governador)","19.437","19","29","66","96","29","9","3","3","3","2","6","5","270"
"Jardim Guanabara","32.213","43","60","92","159","34","16","5","3","2","3","4","2","423"
"Jardim Carioca","24.848","36","64","104","146","47","15","4","4","5","3","4","3","435"
"TauáMoneró","29.5676.476","3514","6715","12236","14146","3614","96","33","21","31","40","80","41","434137"
"PortuguesaGaleãoCidade Universitária","23.85622.9711.556","40460","36552","60826","1091341","37360","1790","750","330","130","310","120","300","3173769"
"XXIX Complexo do AlemãoComplexo do AlemãoXXX Maré","69 143 69 143 129 770","5539","9930","3030406","5050259","131358","334","110","110","221","001","003","112","115115803"
"MaréÁrea Programática 3.2","129 770 569 970","39264","30608","4061.185","2591.343","58566","4194","053","023","119","116","331","230","8034.332"
"XII Inhaúma","134 349","74","189","394","409","180","71","11","5","1","4","6","8","1.352"
"HigienópolisMaria da Graça","15.7347.972","98","288","4629","4018","239","56","10","01","00","10","00","00","15379"
"Del CastilhoInhaúma","15.61045.698","730","3268","60135","65144","3450","1125","42","11","00","02","11","33","218461"
"Engenho da Rainha","26.659","8","26","75","94","40","13","3","2","1","0","1","0","263"
"Tomas Coelho","22.676","12","27","49","48","24","11","1","0","0","1","3","2","178"
"XIII Méier","397.782","187","408","779","913","372","121","40","18","18","12","25","20","2.913"

