"ÁreaProgramática,Regiões","","População","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICA","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Total"
"AdministrativaseBairros","","Censo2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Humaitá","","13285","0","0","0","0","0","0","0","1","0","2","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Urca","","7061","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"VCopacabana","","161191","4","3","2","4","4","2","5","4","1","0","1","4","4","3","1","2","2","1","1","0","0","0","0","0","0","0","2","0","2","1","0","0","0","1","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","58"
"Leme","","14799","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Copacabana","","146392","4","3","2","3","3","2","5","4","1","0","1","4","4","3","1","1","2","1","1","0","0","0","0","0","0","0","2","0","2","1","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","54"
"VILagoa","","167774","3","4","2","0","2","2","2","1","3","3","1","2","2","1","3","3","1","0","1","0","0","1","0","0","1","1","0","1","1","2","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47"
"Ipanema","","42743","1","0","1","0","2","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"Leblon","","46044","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Lagoa","","21198","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"JardimBotânico","","18009","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
