JardimBotânico,18009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gávea,16003,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
Vidigal,12797,1,4,0,0,0,1,1,0,0,0,0,2,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19
SãoConrado,10980,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
XXVIIRocinha,69356,3,1,7,7,5,6,5,2,4,0,3,4,2,3,1,0,3,2,2,0,2,1,1,0,0,2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,72
Rocinha,69356,3,1,7,7,5,6,5,2,4,0,3,4,2,3,1,0,3,2,2,0,2,1,1,0,0,2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,72
ÁreaProgramática2.2,371120,6,6,1,6,3,5,5,2,0,1,3,4,1,0,2,1,3,3,2,0,0,0,1,1,0,2,3,0,2,1,0,1,1,2,2,1,0,1,1,0,1,1,1,0,1,1,2,0,1,0,0,0,81
VIIITijuca,181810,1,3,0,2,2,3,1,0,0,1,0,1,1,0,0,0,0,1,2,0,0,0,1,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,30
PraçadaBandeira,8662,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
Tijuca,163805,1,2,0,2,1,3,1,0,0,1,0,1,1,0,0,0,0,1,2,0,0,0,1,0,0,0,2,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,26
