Área Programática, Regiões Administrativas e Bairros,Pop. Censo 2010,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
Flamengo,50.043,9,33,63,72,34,21,6,2,1,10,4,8,263,
Glória,9.661,3,25,48,56,22,6,0,1,0,2,1,3,167,
Laranjeiras,45.554,6,25,56,52,23,25,2,2,3,0,0,11,205,
Catete,24.057,4,26,49,30,22,7,4,1,1,2,0,3,149,
Cosme Velho,7.178,0,15,41,25,4,2,1,0,0,0,2,1,91,
Botafogo,82.890,11,55,188,174,47,20,15,5,6,11,4,9,545,
Humaitá,13.285,4,10,18,20,3,6,1,4,1,0,1,1,69,
Urca,7.061,0,3,7,24,5,2,0,1,2,2,1,1,48,
V Copacabana, 161 191,33,146,412,573,218,57,27,6,7,11,22,31,1.543,
Leme,14.799,1,9,17,35,19,6,3,0,0,1,0,5,96,
Copacabana,146.392,32,137,395,538,199,51,24,6,7,10,22,26,1.447,
VI Lagoa, 167 774,28,108,300,335,140,73,22,7,13,22,25,54,1.127,
Ipanema,42.743,8,27,87,78,28,15,6,3,5,0,7,3,267,
Leblon,46.044,5,17,58,85,33,19,6,0,1,5,7,11,247,
Lagoa,21.198,2,11,10,22,12,5,3,0,1,1,2,3,72,
Jardim Botânico,18.009,5,17,45,40,18,12,3,0,0,0,4,3,147,
Gávea,16.003,2,19,56,57,23,16,1,1,1,7,1,22,206,
Vidigal,12.797,4,7,27,45,15,5,3,2,3,8,4,7,130,
São Conrado,10.980,2,10,17,8,11,1,0,1,2,1,0,5,58,
XXVII Rocinha, 69 356,14,10,66,48,45,13,1,0,0,0,3,9,209,
Rocinha, 69 356,14,10,66,48,45,13,1,0,0,0,3,9,209,
Área Programática 2.2, 371 120,71,189,434,1.022,609,110,41,6,20,39,48,83,2.672,
VIII Tijuca, 181 810,43,115,258,698,405,76,26,3,16,23,31,47,1.741,
Praça da Bandeira,8.662,3,2,21,50,31,7,4,0,0,0,1,10,129,
Tijuca,163.805,36,109,230,626,353,68,20,3,16,22,29,33,1.545,
Alto da Boa Vista,9.343,4,4,7,22,21,1,2,0,0,1,1,4,67,
IX Vila Isabel, 189 310,28,74,176,324,204,34,15,3,4,16,17,36,931,
Maracanã,25.256,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vila Isabel,86.018,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andaraí,39.365,0,0,0,0,0,0,0,0,0,0,0,0,0,
Grajaú,38.671,28,74,176,324,204,34,15,3,4,16,17,36,931,
Área Programática 3.1, 886 551,133,582,2.049,2.888,1.585,387,151,83,89,169,329,683,9.128,
X Ramos, 153 177,30,133,239,498,385,49,18,13,12,25,38,110,1.550,
Manguinhos,36.160,6,19,47,106,67,13,3,2,3,7,4,12,289,
Bonsucesso,18.711,3,18,40,100,69,14,5,4,3,10,8,14,288,
Ramos,40.792,5,18,32,35,23,3,0,1,0,1,8,12,138,
Olaria,57.514,16,78,120,257,226,19,10,6,6,7,18,72,835,
XI Penha, 321 887,45,188,463,1.126,437,94,32,12,21,26,113,215,2.772,
Penha,78.678,7,31,66,161,94,29,8,3,3,8,13,38,461,
Penha Circular,47.816,4,26,60,146,54,19,3,0,4,2,20,41,379,
Brás de Pina,59.222,6,71,218,472,192,17,8,4,2,4,43,75,1.112,
Cordovil,45.202,3,18,32,86,13,7,6,1,3,0,10,14,193,
Parada de Lucas,23.923,12,19,35,89,32,10,2,1,4,5,9,19,237,
Vigário Geral,41.820,8,15,38,114,31,8,5,0,3,6,14,18,260,
Jardim América,25.226,5,8,14,58,21,4,0,3,2,1,4,10,130,
XX Ilha Do Governador, 212 574,42,197,460,714,505,187,64,30,23,56,103,258,2.639,
Ribeira,3.528,6,29,88,109,60,15,9,1,2,9,8,33,369,
Zumbi,2.016,4,30,69,107,90,30,4,1,3,0,5,11,354,
Cacuia,11.013,0,2,5,6,4,2,0,0,1,1,2,2,25,
Pitangueiras,11.756,0,3,9,15,8,2,0,1,0,0,0,3,41,
Praia da Bandeira,5.948,1,6,21,30,25,7,4,1,1,2,4,17,119,
Cocotá,4.877,1,8,22,34,10,4,1,2,1,5,1,8,97,
Bancários,12.512,0,0,0,0,0,2,0,0,0,0,0,0,2,
Freguesia (Ilha do Governador),19.437,9,10,23,37,41,13,10,2,1,4,13,27,190,
Jardim Guanabara,32.213,4,19,25,59,34,17,3,2,4,3,9,32,211,
Jardim Carioca,24.848,0,9,21,59,31,13,0,0,0,4,16,20,173,
Tauá,29.567,5,17,49,86,54,26,11,3,3,8,9,10,281,
Moneró,6.476,5,11,25,58,44,10,8,6,2,4,14,36,223,
Portuguesa,23.856,1,19,33,31,43,14,3,6,3,7,4,22,186,
Galeão,22.971,1,17,18,33,15,10,3,2,2,3,6,11,121,
Cidade Universitária,1.556,5,17,52,50,46,22,8,3,0,6,12,26,247,
XXIX Complexo do Alemão, 69 143,14,63,879,527,243,47,35,28,33,62,73,97,2.101,
Complexo do Alemão, 69 143,14,63,879,527,243,47,35,28,33,62,73,97,2.101,
XXX Maré, 129 770,2,1,8,23,15,10,2,0,0,0,2,3,66,
Maré, 129 770,2,1,8,23,15,10,2,0,0,0,2,3,66,
Área Programática 3.2, 569 970,141,420,1.053,2.054,1.319,472,143,76,63,128,239,264,6.372,
XII Inhaúma, 134 349,44,129,234,391,177,36,15,10,9,14,54,61,1.174,
Higienópolis,15.734,6,22,52,80,44,9,4,0,3,5,9,12,246,
Maria da Graça,7.972,3,27,23,37,13,3,4,1,1,1,3,5,121,
Del Castilho,15.610,2,15,28,24,28,3,2,3,2,2,6,3,118,
Inhaúma,45.698,4,10,15,11,2,2,0,1,0,0,3,1,49,
Engenho da Rainha,26.659,5,15,24,55,28,7,1,2,1,0,11,6,155,
Tomas Coelho,22.676,24,40,92,184,62,12,4,3,2,6,22,34,485,
XIII Méier,397.782,57,197,513,822,418,181,68,26,22,57,86,132,2.579,
Jacaré,8.343,7,21,89,136,67,12,5,3,3,7,6,21,377,
São Francisco Xavier,8.766,2,15,44,74,38,16,5,2,0,1,9,18,224,
Rocha,12.653,2,10,54,55,29,14,5,4,4,4,13,19,213,
Riachuelo,10.895,3,2,1,6,7,1,0,0,0,5,2,1,28,
Sampaio,42.172,1,5,7,17,15,5,1,1,0,0,0,1,53,
Engenho Novo, 9 276,3,7,10,35,13,4,1,0,0,1,3,3,80,
Lins de Vasconcelos,37.487,0,6,9,19,6,4,1,0,1,1,3,0,50,
Méier,49.828,3,21,57,97,52,20,5,3,3,7,10,11,289,
Todos ds Santos,24.646,7,15,40,54,37,12,4,2,1,9,8,10,199,
Cachambi,42.415,6,28,39,87,53,27,9,3,3,5,6,12,278,
Engenho de Dentro,45.540,0,2,11,17,8,7,4,0,1,1,2,6,59,
Água Santa,8.756,5,16,31,67,22,19,8,2,1,3,6,6,186,
Encantado,15.021,6,13,37,62,23,11,10,1,2,6,9,8,188,
Piedade,43.378,1,3,7,13,7,2,1,0,0,0,0,1,35,
Abolição,11.356,1,3,12,18,11,6,1,1,1,0,2,5,61,
Pilares,27.250,10,30,65,65,30,21,8,4,2,7,7,10,259,
XVIII Jacarezinho, 37 839,40,94,306,841,724,255,60,40,32,57,99,71,2.619,
