"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Week","Cases"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","17","7"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","18","3"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","19","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","20","3"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","21","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","22","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","23","2"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","24","1"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","25","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","26","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","27","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","28","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","29","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","30","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","31","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","32","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","33","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","34","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","35","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","36","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","37","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","38","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","39","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","40","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","41","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","42","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","43","1"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","44","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","45","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","46","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","47","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","48","1"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","49","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","50","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","51","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","52","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","1","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","2","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","3","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","4","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","5","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","6","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","7","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","8","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","9","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","10","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","11","1"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","12","2"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","13","1"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","14","1"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","15","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","16","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","17","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","18","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","19","1"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","20","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","21","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","22","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","23","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","24","1"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","25","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","26","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","27","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","28","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","29","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","30","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","31","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","32","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","33","1"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","34","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","35","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","36","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","37","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","38","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","39","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","40","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","41","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","42","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","43","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","44","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","45","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","46","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","47","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","48","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","49","1"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","50","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","51","0"
"2016","Planning Area 1.0","I Portuária","Saúde","2749","52","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","1","4"
"2016","Planning Area 1.0","II Centro","Centro","41142","2","4"
"2016","Planning Area 1.0","II Centro","Centro","41142","3","5"
"2016","Planning Area 1.0","II Centro","Centro","41142","4","6"
"2016","Planning Area 1.0","II Centro","Centro","41142","5","1"
"2016","Planning Area 1.0","II Centro","Centro","41142","6","4"
"2016","Planning Area 1.0","II Centro","Centro","41142","7","4"
"2016","Planning Area 1.0","II Centro","Centro","41142","8","2"
"2016","Planning Area 1.0","II Centro","Centro","41142","9","7"
"2016","Planning Area 1.0","II Centro","Centro","41142","10","4"
"2016","Planning Area 1.0","II Centro","Centro","41142","11","2"
"2016","Planning Area 1.0","II Centro","Centro","41142","12","11"
"2016","Planning Area 1.0","II Centro","Centro","41142","13","7"
"2016","Planning Area 1.0","II Centro","Centro","41142","14","17"
"2016","Planning Area 1.0","II Centro","Centro","41142","15","14"
"2016","Planning Area 1.0","II Centro","Centro","41142","16","4"
"2016","Planning Area 1.0","II Centro","Centro","41142","17","8"
"2016","Planning Area 1.0","II Centro","Centro","41142","18","2"
"2016","Planning Area 1.0","II Centro","Centro","41142","19","1"
"2016","Planning Area 1.0","II Centro","Centro","41142","20","1"
"2016","Planning Area 1.0","II Centro","Centro","41142","21","3"
"2016","Planning Area 1.0","II Centro","Centro","41142","22","5"
"2016","Planning Area 1.0","II Centro","Centro","41142","23","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","24","1"
"2016","Planning Area 1.0","II Centro","Centro","41142","25","1"
"2016","Planning Area 1.0","II Centro","Centro","41142","26","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","27","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","28","1"
"2016","Planning Area 1.0","II Centro","Centro","41142","29","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","30","1"
"2016","Planning Area 1.0","II Centro","Centro","41142","31","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","32","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","33","2"
"2016","Planning Area 1.0","II Centro","Centro","41142","34","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","35","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","36","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","37","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","38","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","39","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","40","1"
"2016","Planning Area 1.0","II Centro","Centro","41142","41","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","42","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","43","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","44","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","45","1"
"2016","Planning Area 1.0","II Centro","Centro","41142","46","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","47","1"
"2016","Planning Area 1.0","II Centro","Centro","41142","48","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","49","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","50","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","51","0"
"2016","Planning Area 1.0","II Centro","Centro","41142","52","1"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","1","1"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","2","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","3","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","4","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","5","0"
