"Predicted Shock Arrival Time","Difference (hrs)","Confidence (%)","Submitted On","Lead Time (hrs)","Predicted Geomagnetic Storm Parameter(s)","Method","Submitted By"
"2014-12-22T10:00Z(-7.0h, +7.0h)","-4.47","----","2014-12-21T16:41Z","21.78","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Yaireska Collado (GSFC)"," Detail"
"2014-12-22T13:45Z","-0.72","20.0","---","---","Max Kp Range: 3.0 - 5.33333"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-12-21T02:00Z","-16.37","----","2014-12-19T02:31Z","63.85","Max Kp Range: -- - 6.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Yaireska Collado (GSFC)"," Detail"
"2014-12-21T07:38Z(-7.0h, +7.0h)","-10.73","----","2014-12-19T05:11Z","61.18","Max Kp Range: 6.0 - 8.0","WSA-ENLIL + Cone (GSFC SWRC) ","Karin Muglach (GSFC)"," Detail"
"2014-12-21T13:00Z","-5.37","----","2014-12-19T05:40Z","60.70","----","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2014-12-22T00:00Z","5.63","----","2014-12-19T12:29Z","53.88","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-12-21T01:00Z","-17.37","80.0","2014-12-19T16:15Z","50.12","Max Kp Range: 5.0 - 8.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2014-12-21T05:17Z(-4.3h, +6.0h)","-13.08","100.0","2014-12-19T20:00Z","46.37","Max Kp Range: 6.0 - 8.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Anna Chulaki (CCMC)"," Detail"
"2014-12-21T07:00Z","-11.37","----","2014-12-21T00:29Z","17.88","----","WSA-ENLIL + Cone (KSWC) ","RWC Jeju (KSWC)"," Detail"
"2014-12-21T09:00Z(-7.0h, +7.0h)","-9.37","----","2014-12-21T16:41Z","1.68","Max Kp Range: 6.0 - 8.0","WSA-ENLIL + Cone (GSFC SWRC) ","Yaireska Collado (GSFC)"," Detail"
"2014-12-21T08:36Z","-9.77","90.0","---","---","Max Kp Range: 5.75 - 7.6"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-09-30T18:00Z","----","69.0","2014-09-28T04:45Z","61.25","Dst min. in nT: -31 Dst min. time: 2014-09-30T22:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail"
"2014-09-30T18:00Z","----","69.0","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-09-12T11:47Z(-7.0h, +7.0h)","-3.65","----","2014-09-11T01:21Z","38.08","Max Kp Range: 6.0 - 8.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-09-13T20:37Z(-13.4h, +1.1h)","29.18","55.0","2014-09-11T01:51Z","37.58","Max Kp Range: -- - 8.0","COMESEP ","Leila Mays (GSFC)"," Detail"
"2014-09-12T13:00Z","-2.43","----","2014-09-11T03:23Z","36.05","Max Kp Range: -- - 7.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-09-12T13:39Z(-9.4h, +8.0h)","-1.78","100.0","2014-09-11T03:58Z","35.47","Max Kp Range: 6.0 - 8.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-09-13T05:00Z","13.57","----","2014-09-11T08:30Z","30.93","----","WSA-ENLIL + Cone (KSWC) ","RWC Jeju (KSWC)"," Detail"
"2014-09-12T21:00Z","5.57","----","2014-09-11T09:40Z","29.77","Max Kp Range: 6.0 - 8.0","Other (SIDC) ","Andy Devos (SIDC)"," Detail"
"2014-09-12T15:00Z(-6.0h, +6.0h)","-0.43","100.0","2014-09-11T20:25Z","19.02","----"," SAO Crowdsource ","Michael Stevens (SAO)"," Detail"
"2014-09-12T14:00Z","-1.43","----","2014-09-12T10:58Z","4.47","Max Kp Range: 4.0 - 7.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2014-09-12T20:15Z","4.82","85.0","---","---","Max Kp Range: 5.5 - 7.66667"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-09-11T20:26Z(-11.7h, +11.7h)","-2.50","57.0","2014-09-09T11:50Z","59.10","----"," SAO Crowdsource ","Michael Stevens (SAO)"," Detail"
"2014-09-12T03:00Z(-12.0h, +12.0h)","4.07","----","2014-09-09T12:35Z","58.35","Max Kp Range: 5.0 - --","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-09-11T16:42Z(-7.0h, +7.0h)","-6.23","----","2014-09-09T13:01Z","57.92","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-09-11T23:00Z","0.07","----","2014-09-09T17:23Z","53.55","Max Kp Range: -- - 6.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-09-11T19:29Z(-11.8h, +12.7h)","-3.45","100.0","2014-09-09T18:42Z","52.23","Max Kp Range: 3.0 - 7.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-09-11T21:19Z","-1.62","78.5","---","---","Max Kp Range: 3.66667 - 6.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-09-06T01:00Z(-6.0h, +6.0h)","-3.55","----","2014-09-03T02:00Z","74.55","----","WSA-ENLIL + Cone (KSWC) ","RWC Jeju (KSWC)"," Detail"
"2014-09-06T12:00Z","7.45","----","2014-09-03T12:30Z","64.05","Max Kp Range: -- - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-09-05T08:52Z(-8.9h, +15.2h)","-19.68","100.0","2014-09-03T19:32Z","57.02","Max Kp Range: 3.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Yaireska Collado (GSFC)"," Detail"
"2014-09-05T23:17Z","-5.27","100.0","---","---","Max Kp Range: 3.0 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-08-28T01:00Z(-6.0h, +6.0h)","----","----","2014-08-26T02:00Z","47.00","----","WSA-ENLIL + Cone (KSWC) ","RWC Jeju (KSWC)"," Detail"
"2014-08-28T18:00Z(-7.0h, +7.0h)","----","----","2014-08-26T04:34Z","61.43","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-08-28T18:00Z(-6.0h, +6.0h)","----","----","2014-08-26T05:54Z","60.10","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-08-28T12:20Z","----","----","---","---","Max Kp Range: 3.0 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-08-25T23:01Z(-7.0h, +7.0h)","-24.98","----","2014-08-22T18:45Z","101.25","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-08-25T23:54Z(-5.8h, +4.6h)","-24.10","100.0","2014-08-22T23:42Z","96.30","Max Kp Range: 3.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-08-25T09:00Z(-6.0h, +6.0h)","-39.00","----","2014-08-23T09:58Z","86.03","----","WSA-ENLIL + Cone (KSWC) ","RWC Jeju (KSWC)"," Detail"
"2014-08-27T00:00Z","0.00","----","2014-08-23T10:33Z","85.45","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-08-26T12:00Z","-12.00","----","2014-08-23T12:30Z","83.50","Max Kp Range: -- - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
