id,x,y
15,574.91,421.09
15,595.09,436.73
15,614.00,449.09
15,635.82,461.09
15,657.09,470.00
15,685.33,480.67
15,722.67,498.00
15,757.33,516.00
15,788.67,531.33
15,829.33,550.67
15,868.67,570.67
15,926.00,600.67
15,966.00,621.33
15,986.00,632.00
15,999.33,640.00
17,577.50,418.25
17,587.25,422.25
17,597.75,423.50
17,605.75,423.00
17,620.75,421.50
17,636.50,420.00
17,655.25,417.25
17,669.00,415.00
17,678.00,413.25
17,692.50,408.50
17,709.75,403.25
17,734.75,398.25
17,756.00,394.00
17,791.25,387.25
17,812.25,384.25
17,844.50,381.50
17,860.00,380.00
17,882.00,378.50
17,910.00,377.50
17,937.50,376.00
17,970.00,375.00
17,1000.00,375.50
10,511.75,450.50
10,514.25,459.50
10,517.25,466.75
10,522.25,477.25
10,527.50,491.50
10,533.50,506.50
10,539.50,521.50
10,546.00,536.25
10,553.00,554.25
10,558.50,568.75
10,567.25,594.50
10,577.00,620.75
10,590.00,652.00
10,600.00,676.75
9,503.50,450.75
9,504.00,455.00
9,507.50,466.75
9,511.50,482.50
9,514.00,495.75
9,517.75,511.75
9,521.50,526.00
9,525.00,540.50
9,528.50,552.75
9,531.25,564.75
9,534.50,579.25
9,537.50,592.25
9,541.00,609.25
9,544.75,626.00
9,549.00,644.00
9,551.75,656.75
9,554.50,668.50
9,555.75,676.75
8,500.50,450.50
8,501.50,456.50
8,502.50,468.00
8,504.25,481.50
8,505.50,498.75
8,507.25,515.00
8,509.25,533.75
8,511.00,550.25
8,513.00,568.25
8,515.00,587.00
8,516.00,603.00
8,517.75,625.25
8,519.25,641.75
8,520.25,658.00
8,522.25,676.75
7,491.25,450.50
7,490.75,459.25
7,489.75,469.25
7,488.50,478.00
7,486.25,491.50
7,484.50,502.75
7,481.75,518.75
7,479.00,535.25
7,476.00,552.25
7,472.25,570.25
7,468.00,592.25
7,465.00,606.50
7,461.00,628.50
7,457.00,647.50
7,454.50,661.50
7,452.00,676.75
6,483.00,449.67
6,481.82,456.91
6,479.45,466.36
6,476.91,475.27
6,473.61,485.86
6,467.16,502.73
6,461.93,516.25
6,454.80,533.66
6,447.93,549.64
6,442.48,561.27
6,435.64,574.91
6,430.91,586.00
6,425.09,599.45
6,416.25,618.92
6,410.25,632.25
6,404.25,646.00
6,397.00,662.00
6,389.50,677.75
5,479.67,449.00
5,477.12,460.00
5,473.62,470.00
5,470.25,478.38
5,465.88,488.62
5,461.12,497.50
5,457.38,505.88
